dataset,page_id,rouge,n_blocks,n_kept,pred_chars,gt_chars,tp,fp,fn,sec
cetd,97e7682704262080e73b206debb96e2b14e6771f590cf985e28106e168d37635,0.955824,84,33,16619,16579,31,2,15,0.2290
cetd,0f81e7efd4e6690c41898f4dcfa3138cb25272b10a092de7182712b1cf09be5b,0.903265,72,30,6246,6306,26,4,7,0.1057
cetd,f34a53813af1a189d022b7c0e9fec20484290b5178e3bc32902e460a25801c19,0.808451,143,52,17477,19566,52,0,63,0.4604
cetd,0a634f4cf68dc68cfd6c39d5ed6e987010016017b4315f30f327ac951e5adb90,0.891971,287,100,21810,19466,77,23,60,0.2819
cetd,35f1a0562713500823ad58c6370240517b7e32a766f817aa2deeff72f56bdf8e,0.542117,101,11,3413,8405,11,0,41,0.1256
cetd,0b70bb25c89d808ce6a285bee601d7049bc95336e398bcfab65768968efce4d1,0.711545,49,15,4308,4645,13,2,20,0.0754
cetd,c27184f1cdf48bbafaaac4190d4f5cd13695c7a547edc9e16819faa8254dcfae,0.639079,131,42,5113,2625,20,22,14,0.1536
cetd,ffe6b7b34179a2c77a330ec1924703e25a1ee52e69b10c6812570d7e482269d2,0.009780,141,7,185,5158,4,3,57,0.1538
cetd,d2765c54a99f9bbf4048c10d649ebf817f57cc6d169ae241fc8cd60f8c119f1a,0.738659,54,23,4321,3434,17,6,11,0.0761
cetd,376167c718c58280c19062ea9c17a6cb977d21989ce7848fa4f3da12e15b880d,0.580583,78,17,1969,3482,11,6,19,0.0952
cetd,04c114bbff17bbeab9aa44e14acfb8274a555174b4c82c33e254d86a210bc332,0.829696,77,31,4943,5733,26,5,14,0.0946
cetd,01e37a118128d05c98e4e6da5df608fc2ebcee656eedfed1c6168ecba9dfbf11,0.692411,102,34,4328,5865,34,0,33,0.1118
cetd,3abb7d2e91921fce50b5a10d6ad91b900b1d04382d37ead831b241a3b9f48e07,0.659381,83,13,1224,1882,13,0,22,0.1119
cetd,29bd09775c1cb78c3a9cb2eb8df337ec2865ea2993562035dba995961f758726,0.760063,124,68,22113,21784,65,3,13,0.2145
cetd,247a665a57a4332b4bf2188a3324b53c8ff8a9f921c5d29faf18568bca414b69,0.768631,122,18,2303,2975,15,3,32,0.1340
cetd,124e919818bc16d87b054721d6be04cd8d01248d121340541a13e496324672b7,0.814830,80,31,5867,7141,26,5,11,0.1041
cetd,edfd6521688d356dfdfba14b4e2c12bc76128d3803688b2c2061ab148bad98e0,0.705882,49,13,1563,1670,4,9,6,0.0729
cetd,b37a508c5cd0fe15eefcea8013480dde42e4e40035abab5ef0873f17d14cd679,0.802310,122,35,5516,4658,27,8,18,0.1349
cetd,7f217748301a97fce8eaf8df49cc97f9afc7a1cb4bc274d6f0638cc18f1754fd,0.890368,55,10,3115,3604,9,1,13,0.0949
cetd,0c89b436922f78e4c54d423ffb32733a3ee2ad216c2b1bf7fb8e3b0a658dc460,0.876554,59,30,7883,6699,21,9,1,0.0801
cetd,d9f21709bbacd6a02e58f73de2e38c5b3fa3ffe14c5b0aa9de7dcb4ef03c7a5b,0.885214,49,18,2921,2617,9,9,4,0.0730
cetd,ed9b0014e711b75da84ea969ef98e45724234ace6524a39afd367f2dbd0ee642,0.755978,142,70,21066,28173,69,1,54,0.2060
